Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue ID,Distance,Venue Latitude,Venue Longitude,Venue Category,like_counts,rating,photo_count,reasons_count,tips_count
Center City,39.9525435,-75.16521900000002,Dilworth Park,4bde0d566198c9b6c5cc12ff,49,39.952771846343104,-75.16472339630127,Park,311,9.1,668,1,23
Center City,39.9525435,-75.16521900000002,Philadelphia Film Center,47bdd66df964a520da4d1fe3,195,39.95083500021385,-75.16468287084359,Movie Theater,88,8.9,177,1,20
Center City,39.9525435,-75.16521900000002,City Hall Courtyard,4f29e8e3e4b02f0aff55b2a7,138,39.95248416722534,-75.1635924165534,Plaza,58,8.9,214,1,3
Center City,39.9525435,-75.16521900000002,Del Frisco's Double Eagle Steak House,4ab2ac0bf964a520d66b20e3,177,39.9509564,-75.16545909999999,Steakhouse,275,8.8,309,1,85
Center City,39.9525435,-75.16521900000002,"The Ritz-Carlton, Philadelphia",4a68db6ff964a52023cb1fe3,152,39.95144564140195,-75.16414940357208,Hotel,199,8.8,599,1,63
Center City,39.9525435,-75.16521900000002,JFK Plaza / Love Park,4aa14edef964a5206d4020e3,175,39.954123027797095,-75.1653029677221,Plaza,605,8.8,2243,1,134
Center City,39.9525435,-75.16521900000002,La Colombe Coffee Roasters,4de4e118b0fb267148be318b,98,39.951659480836746,-75.16523808706552,Coffee Shop,398,8.6,380,1,97
Center City,39.9525435,-75.16521900000002,sweetgreen,594444b1c9f90745a2d578d0,185,39.95311521614483,-75.16725808382034,Salad Place,16,8.6,9,0,1
Center City,39.9525435,-75.16521900000002,Rothman Institute Ice Rink at Dilworth Park,543f18a5498ebe945750e5b1,61,39.952769790231315,-75.164561457932,Skating Rink,21,8.5,50,0,4
Center City,39.9525435,-75.16521900000002,The Wanamaker Organ,4c5cc27a6ebe2d7f7d2cd12e,238,39.951535862648925,-75.16275209331222,Concert Hall,39,8.8,74,1,8
Center City,39.9525435,-75.16521900000002,One Liberty Observation Deck,5564967f498ebf77a0ab4b65,244,39.9527401822136,-75.16806838365939,Scenic Lookout,78,8.9,221,1,8
