Venue,like_counts,rating,photo_count,reasons_count,tips_count
Dilworth Park,311,9.1,668,1,23
Philadelphia Film Center,88,8.9,177,1,20
City Hall Courtyard,58,8.9,214,1,3
Del Frisco's Double Eagle Steak House,275,8.8,309,1,85
"The Ritz-Carlton, Philadelphia",199,8.8,599,1,63
JFK Plaza / Love Park,605,8.8,2243,1,134
La Colombe Coffee Roasters,398,8.6,380,1,97
sweetgreen,16,8.6,9,0,1
Rothman Institute Ice Rink at Dilworth Park,21,8.5,50,0,4
The Wanamaker Organ,39,8.8,74,1,8
One Liberty Observation Deck,78,8.9,221,1,8
Oyster House,316,9.0,395,1,110
The Capital Grille,130,8.5,144,1,46
UNIQLO,136,8.6,64,1,10
Fogo De Chão,336,8.8,305,1,98
Mission Taqueria,98,8.7,116,1,26
HipCityVeg,26,8.7,22,0,6
Five Below,37,8.2,32,1,5
R2L,144,8.2,355,1,74
Snap Custom Pizza,44,8.4,32,1,9
Blick Art Materials,40,8.6,56,1,9
Bikram Yoga of Philadelphia,32,8.4,1,1,6
Anthony's O2 Skincare Lounge,10,8.6,16,0,12
Insomnia Cookies,131,8.5,118,1,26
City Hall Tower,34,8.0,291,1,10
Osteria,140,8.8,150,1,79
Santucci's Original Square Pizza,19,8.6,20,0,3
South Restaurant,56,8.3,57,1,19
Jimmy G's Steaks,57,8.3,41,1,20
Stockyard,23,8.9,10,0,10
John's Place,13,8.6,4,0,10
Prohibition Tap Room,216,8.2,252,1,85
Cafe Lift,196,8.6,236,1,91
performance garage,12,7.4,19,0,2
The Institute Bar,95,7.5,297,1,40
Retro Fitness - Spring Garden,5,7.5,1,0,0
Kelliann's Bar & Grill,26,7.3,60,0,12
Brandywine Pizza,10,6.8,3,0,8
Lorraine,8,7.5,4,0,1
City View Pizza,21,7.1,20,0,24
Sals Seafood,10,6.9,10,0,10
Divine Lorraine Hotel,18,7.0,103,0,4
Cvs,0,6.7,0,0,0
Retro Fitness,2,6.9,1,0,1
SUBWAY,2,6.5,2,0,1
Sakura Japanese Cuisine,5,6.6,18,0,7
Thirsty Dice,7,6.9,5,0,4
Anytime Fitness,0,6.9,1,0,0
Johnnie Bleu,7,6.7,14,0,2
Saint Stephen's Green,55,6.3,69,1,41
Dunkin',7,7.8,0,0,1
Penrose Diner,203,8.0,48,1,76
Popi's Restaurant,45,7.5,27,1,21
Subway,0,6.6,0,0,0
APlus at Sunoco,28,6.3,11,0,6
Peking Inn,4,6.1,3,0,4
Packer Park Locksmith,0,Null,0,0,0
Kasumi Sushi,0,Null,0,0,0
Martial Arts Hero Factory,0,Null,6,0,0
Girard & Belmont Truck Stop Premium Food,2,Null,3,0,0
Catch Fitness Center,0,Null,1,0,0
Pattison Avenue & Reserve Drive,0,Null,0,0,0
Minuteman Press,0,Null,3,0,0
VWC Nails,3,Null,1,0,3
Cambridge Sound Studio,1,Null,1,0,0
Pattison Avenue & Penrose Avenue,2,Null,1,0,1
Pattison Avenue & South 20th Street,0,Null,0,0,0
Penrose Hotel Philadelphia,2,4.5,3,0,5
Dunkin',15,6.3,6,0,4
7-Eleven,2,6.2,26,0,1
Fahey Roofing Siding Doors & Windows Inc,0,Null,50,0,0
Kerrigan Automotive,1,Null,0,0,0
The Fresh Works of Holme Circle,2,Null,3,0,0
Ashton Road Automotive Inc,0,Null,0,0,0
Cerruti's Deli,0,Null,1,0,1
Jerry Gregory - State Farm Insurance Agent,0,Null,0,0,0
Jerry Gregory - State Farm Insurance Agent,0,Null,0,0,0
"Calamari Grill, Catering By Tony",1,Null,0,0,0
Holme Style Pizza,0,Null,0,0,0
Hemingway's Tavern,1,Null,1,0,1
Holme Circle Flower Shop,0,Null,1,0,1
The Freshworks Holme Avenue,0,Null,0,0,0
Rita's Italian Ice & Frozen Custard,4,Null,1,0,0
Loosen Up!,0,Null,0,0,0
Taqueria Del Norte,2,Null,6,0,0
North East Wellness Connection,1,Null,1,0,0
Quality Taste Jamaican Restaurant,23,8.6,3,0,4
Redcap's Corner,16,8.0,15,0,5
FRESH DONUTS,4,6.9,1,0,8
Jollie's West,13,7.3,14,0,2
Golden Tea House,8,7.3,11,0,1
Family Dollar,0,6.5,0,0,0
Cricket Wireless Authorized Retailer,0,6.4,0,0,0
Balance of Life Massage Therapy,0,Null,0,0,0
Hong Kong Restaurant,0,Null,0,0,0
S&S Cleaning Services,0,Null,0,0,0
Spring Garden Street & North 38th Street,0,Null,0,0,0
Spring Chinese Restaurant,8,5.9,4,0,7
Bart’s Bagels,0,Null,0,0,0
New Angle Lounge,1,Null,5,0,1
The Ellen Powell Tiberino Memorial Museum,1,Null,12,0,1
39th & Lancaster Ave,0,Null,0,0,0
liliglow,1,Null,7,0,0
Lancaster Hoagie City,0,Null,0,0,0
TheSilk Tent,0,Null,0,0,0
Hair Thang,0,Null,0,0,1
Edible Arrangements,0,Null,0,0,0
Bodyrock Bootcamp & Executive Training Gym,1,Null,1,0,1
Prayer and Safe Temple Cafe,0,Null,0,0,0
Crown Fried Chicken,0,Null,0,0,0
Chic Afrique,0,Null,1,0,0
Dattilo's,23,8.5,4,0,8
Lipkin's Bakery,17,8.0,17,0,4
Wawa,5,7.9,6,0,1
Rite Aid,5,7.4,4,0,0
Aldi's,16,7.3,7,0,2
Ritz Diner,6,6.7,5,0,8
Tuscany Ristorante,10,6.6,18,0,5
The Rhawnhurst,3,6.6,6,0,6
Nicole Dominican Beauty Salon 2,0,Null,0,0,0
Flames House,0,Null,3,0,1
New Garden,0,Null,0,0,0
Windows & Doors Unlimited,0,Null,1,0,0
Yum Yum Cafe and Catering,0,Null,0,0,0
Burholme Driving Range,0,Null,2,0,0
Bustleton Avenue & Rhawn Street,0,Null,0,0,0
"Ruch & Shipon, P.C.",0,Null,0,0,0
Bralow’s Fresh Fish & Seafood,1,Null,1,0,0
Philip Yun - State Farm Insurance Agent,0,Null,0,0,0
Gina Vito and Sons,0,Null,0,0,0
Di Bruno's Pizza,1,Null,1,0,1
MB Financial Bank,0,Null,0,0,1
New Supreme Pizza,0,Null,0,0,0
AMDS Pure Care,0,Null,1,0,0
Stanwood Pharmacy,0,Null,0,0,0
Body Relax,0,Null,0,0,0
The River Wards Cafe,15,8.7,14,0,6
Byrne's Tavern,51,8.6,45,1,21
Donna's Bar,8,7.5,16,0,1
Primo Hoagies,12,8.0,8,0,3
Krakus Polish Market,15,7.1,7,0,5
Wawa,42,6.9,18,1,10
APlus At Sunoco,4,6.0,2,0,4
Interstate 95 at Exit 25,0,Null,3,0,0
Appliance & TV Discounters,0,Null,0,0,0
Marx Medical Equipment,0,Null,0,0,0
The Stadium.,0,Null,1,0,0
Monkiewicz Park - Power 99 Parks & Rec,0,Null,2,0,0
Westway Terminals,0,Null,1,0,0
Syrenka Luncheonette,5,Null,7,0,2
Unidentified Mural,0,Null,0,0,0
Sitarz Andrzej,0,Null,0,0,0
Rick Heating & Cooling Philadelphia,0,Null,0,0,0
Syrenka Luncheonette,0,Null,0,0,1
Tweed Video Productions,0,Null,0,0,1
The Cove,1,Null,1,0,1
Breathing Room,2,Null,1,0,1
No. 1 Cafe,0,Null,0,0,1
The Pizza Store,1,Null,0,0,3
Patriot Rolling Gates,0,Null,0,0,0
Marinucci's Deli,0,Null,0,0,0
Gorgas Park,16,7.9,47,0,3
Wawa,93,7.8,27,1,16
CVS pharmacy,13,7.1,4,0,2
Redbox,0,6.6,0,0,0
Daiva's Diner,7,6.1,5,0,12
mudflats baseball field,0,Null,0,0,0
Roman's Pizza,1,Null,0,0,1
Lucky Garden,1,Null,0,0,1
Fountain Street Auto,3,Null,0,0,1
"Van Buskirk, Michael",0,Null,0,0,0
Parks On Tap - Gorgas Park,0,Null,1,0,0
Gorgas Park 21st Ward War Memorial,1,Null,2,0,2
J Davis Printing,0,Null,0,0,1
Cohen Philadelphia Plumbing & Heating Company,0,Null,0,0,0
Roxborough Track,4,Null,5,0,0
Roxborough High School Football Field,1,Null,0,0,0
Gorgas Park Tennis Courts,0,Null,0,0,1
