Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue ID,Distance,Venue Latitude,Venue Longitude,Venue Category
Center City,39.952543500000004,-75.16521900000001,Dilworth Park,4bde0d566198c9b6c5cc12ff,49,39.952771846343104,-75.16472339630127,Park
Center City,39.952543500000004,-75.16521900000001,Philadelphia Film Center,47bdd66df964a520da4d1fe3,195,39.950835000213864,-75.16468287084359,Movie Theater
Center City,39.952543500000004,-75.16521900000001,City Hall Courtyard,4f29e8e3e4b02f0aff55b2a7,138,39.95248416722534,-75.16359241655339,Plaza
Center City,39.952543500000004,-75.16521900000001,Del Frisco's Double Eagle Steak House,4ab2ac0bf964a520d66b20e3,177,39.9509564,-75.1654591,Steakhouse
Center City,39.952543500000004,-75.16521900000001,"The Ritz-Carlton, Philadelphia",4a68db6ff964a52023cb1fe3,152,39.95144564140195,-75.16414940357208,Hotel
Center City,39.952543500000004,-75.16521900000001,JFK Plaza / Love Park,4aa14edef964a5206d4020e3,175,39.954123027797095,-75.1653029677221,Plaza
Center City,39.952543500000004,-75.16521900000001,La Colombe Coffee Roasters,4de4e118b0fb267148be318b,98,39.951659480836746,-75.16523808706552,Coffee Shop
Center City,39.952543500000004,-75.16521900000001,sweetgreen,594444b1c9f90745a2d578d0,185,39.95311521614483,-75.16725808382034,Salad Place
Center City,39.952543500000004,-75.16521900000001,Rothman Institute Ice Rink at Dilworth Park,543f18a5498ebe945750e5b1,61,39.95276979023132,-75.164561457932,Skating Rink
Center City,39.952543500000004,-75.16521900000001,The Wanamaker Organ,4c5cc27a6ebe2d7f7d2cd12e,238,39.95153586264892,-75.16275209331222,Concert Hall
Center City,39.952543500000004,-75.16521900000001,One Liberty Observation Deck,5564967f498ebf77a0ab4b65,244,39.952740182213596,-75.16806838365939,Scenic Lookout
Center City,39.952543500000004,-75.16521900000001,Oyster House,4a281e64f964a520f4941fe3,262,39.95041501026734,-75.16653292910065,Seafood Restaurant
Center City,39.952543500000004,-75.16521900000001,The Capital Grille,4af2d4cef964a520a9e821e3,230,39.95071559112756,-75.16394206082474,American Restaurant
Center City,39.952543500000004,-75.16521900000001,UNIQLO,542e948a498eed10064ab273,240,39.95142598079461,-75.16763404067511,Clothing Store
Center City,39.952543500000004,-75.16521900000001,Fogo De Chão,4a4268fdf964a520d4a51fe3,263,39.9509166,-75.1629711,Churrascaria
Center City,39.952543500000004,-75.16521900000001,Mission Taqueria,57acea9ecd10a4c4bb5521b4,263,39.950389021762504,-75.16650396969168,Taco Place
Center City,39.952543500000004,-75.16521900000001,HipCityVeg,5852d6aad21e030e68cb5512,264,39.950343404130734,-75.16404577670967,Vegetarian / Vegan Restaurant
Center City,39.952543500000004,-75.16521900000001,Five Below,55f1d2ce498e235f0e0ab522,164,39.951548774882276,-75.1666466785482,Miscellaneous Shop
Center City,39.952543500000004,-75.16521900000001,R2L,4b44bd60f964a520d2fa25e3,214,39.9517139,-75.1674855,American Restaurant
Center City,39.952543500000004,-75.16521900000001,Snap Custom Pizza,56cc831ccd10c5927d30dc1d,249,39.95041780860292,-75.16615225612854,Pizza Place
Center City,39.952543500000004,-75.16521900000001,Blick Art Materials,4ac8cea6f964a520a8bc20e3,276,39.95062050000001,-75.1631590159559,Arts & Crafts Store
Center City,39.952543500000004,-75.16521900000001,Bikram Yoga of Philadelphia,4b0ea21cf964a520235923e3,257,39.95048564629284,-75.16658870448565,Yoga Studio
Center City,39.952543500000004,-75.16521900000001,Anthony's O2 Skincare Lounge,4e1f6e2a81dc35f05c52c455,279,39.9502073,-75.16641729999999,Spa
Center City,39.952543500000004,-75.16521900000001,Insomnia Cookies,4fbc0b99e4b0cc7b012c6a1a,266,39.95078527901033,-75.16734024690761,Dessert Shop
Center City,39.952543500000004,-75.16521900000001,City Hall Tower,4c7be900bd346dcbb296fcef,151,39.9527307240956,-75.16345739364624,Scenic Lookout
South Philadelphia,39.96411002943043,-75.16105003116108,Osteria,4a08b0b4f964a5200b741fe3,102,39.965029,-75.161056,Italian Restaurant
South Philadelphia,39.96411002943043,-75.16105003116108,Santucci's Original Square Pizza,562ac902498ee676140a2070,142,39.9652876,-75.1603945,Pizza Place
South Philadelphia,39.96411002943043,-75.16105003116108,South Restaurant,55fdfa4b498e02b96a8a9572,38,39.9643765451612,-75.16133303643504,Southern / Soul Food Restaurant
South Philadelphia,39.96411002943043,-75.16105003116108,Jimmy G's Steaks,5278353b11d247fb9538c9c9,237,39.96620678790365,-75.16053484292783,Sandwich Place
South Philadelphia,39.96411002943043,-75.16105003116108,Stockyard,58000b30d67cd7de5d127e48,307,39.962947429337426,-75.16431863874323,Sandwich Place
South Philadelphia,39.96411002943043,-75.16105003116108,John's Place,4ab121a1f964a5202c6820e3,294,39.96278893374888,-75.16403936434607,Pizza Place
South Philadelphia,39.96411002943043,-75.16105003116108,Prohibition Tap Room,49e143def964a520b0611fe3,348,39.961278934332306,-75.15931958569223,Pub
South Philadelphia,39.96411002943043,-75.16105003116108,Cafe Lift,49fc5adbf964a520926e1fe3,435,39.96035085071555,-75.15962635153404,Breakfast Spot
South Philadelphia,39.96411002943043,-75.16105003116108,performance garage,4b9c2197f964a520474d36e3,236,39.96354998844789,-75.16372890467001,Performing Arts Venue
South Philadelphia,39.96411002943043,-75.16105003116108,The Institute Bar,49c1d95ff964a520d5551fe3,338,39.962967028895136,-75.15737971425136,Gastropub
South Philadelphia,39.96411002943043,-75.16105003116108,Retro Fitness - Spring Garden,5a98bd40cad1b6012e5a20e8,337,39.96268463613205,-75.16453467612564,Gym / Fitness Center
South Philadelphia,39.96411002943043,-75.16105003116108,Kelliann's Bar & Grill,40b28c80f964a520ebf91ee3,333,39.962908031488716,-75.16463057369019,Dive Bar
South Philadelphia,39.96411002943043,-75.16105003116108,Brandywine Pizza,4b796d1cf964a520e3f82ee3,190,39.96332180346163,-75.16303633597065,Pizza Place
South Philadelphia,39.96411002943043,-75.16105003116108,Lorraine,554eba55498e01d1a23aa7cb,453,39.96808023353377,-75.16224522535927,Bar
South Philadelphia,39.96411002943043,-75.16105003116108,City View Pizza,4bf33489706e20a10a05a898,329,39.96272971597319,-75.1644641444448,Pizza Place
South Philadelphia,39.96411002943043,-75.16105003116108,Sals Seafood,4d85090d02eb5481bbaa3bf5,257,39.96642088889052,-75.16088763420547,Seafood Restaurant
South Philadelphia,39.96411002943043,-75.16105003116108,Divine Lorraine Hotel,4b7cf360f964a52026aa2fe3,314,39.96686357780396,-75.16024125186766,Hotel
South Philadelphia,39.96411002943043,-75.16105003116108,Cvs,5d95fdd0718dfa0008ab6970,212,39.962276,-75.16174,Pharmacy
South Philadelphia,39.96411002943043,-75.16105003116108,Retro Fitness,5822e661dd431244831693c5,338,39.96264325577501,-75.16452126074034,Gym
South Philadelphia,39.96411002943043,-75.16105003116108,SUBWAY,4b1e8ac8f964a5205f1b24e3,142,39.96284888063283,-75.16133114833917,Sandwich Place
South Philadelphia,39.96411002943043,-75.16105003116108,Sakura Japanese Cuisine,4c890843a0ffb60c43eb26c5,276,39.96270504262584,-75.16371822957743,Japanese Restaurant
South Philadelphia,39.96411002943043,-75.16105003116108,Thirsty Dice,5bd3b022dd8442002cadb870,434,39.966840999999995,-75.164694,Café
South Philadelphia,39.96411002943043,-75.16105003116108,Anytime Fitness,56fbfccb498e49bedda797a2,484,39.96704,-75.16525,Gym / Fitness Center
South Philadelphia,39.96411002943043,-75.16105003116108,Johnnie Bleu,54d97209498ea26459030464,496,39.96852544047761,-75.16019699129109,Lounge
South Philadelphia,39.96411002943043,-75.16105003116108,Saint Stephen's Green,4a76314cf964a5208be21fe3,422,39.96466042365465,-75.16594978211667,Gastropub
Southwest Philadelphia,39.91004000000004,-75.18636999999995,Dunkin',5a22dc6e06fb60470b5f4ef7,53,39.910216999999996,-75.186947,Donut Shop
Southwest Philadelphia,39.91004000000004,-75.18636999999995,Penrose Diner,4a90dacff964a5209f1920e3,384,39.912320306606055,-75.18299451040096,Diner
Southwest Philadelphia,39.91004000000004,-75.18636999999995,Popi's Restaurant,4bbe86f0ba9776b09de9fdc8,372,39.91167832805587,-75.18256780489956,Italian Restaurant
Southwest Philadelphia,39.91004000000004,-75.18636999999995,Subway,5c4c9fec75dcb7002c83ac7a,331,39.90775724127639,-75.1888711095072,Sandwich Place
Southwest Philadelphia,39.91004000000004,-75.18636999999995,APlus at Sunoco,4c3d0a7715cb1b8d3f7f7bdc,347,39.90771715728247,-75.18908616367955,Coffee Shop
Southwest Philadelphia,39.91004000000004,-75.18636999999995,Peking Inn,4bd4d53e7b1876b036ec8986,337,39.91207740614025,-75.18344400211016,Chinese Restaurant
Southwest Philadelphia,39.91004000000004,-75.18636999999995,Packer Park Locksmith,557a94af498efd67ca185a4c,16,39.90992551552582,-75.18649756908417,Locksmith
Southwest Philadelphia,39.91004000000004,-75.18636999999995,Kasumi Sushi,5c883af5492822002e447351,28,39.910166,-75.186667,Sushi Restaurant
Southwest Philadelphia,39.91004000000004,-75.18636999999995,Martial Arts Hero Factory,57059293498ef21057c802cd,114,39.9109692083477,-75.1869557107886,Martial Arts Dojo
Southwest Philadelphia,39.91004000000004,-75.18636999999995,Girard & Belmont Truck Stop Premium Food,4ea9681277c80957f28ff895,61,39.90951268879822,-75.18615232381222,Food Truck
Southwest Philadelphia,39.91004000000004,-75.18636999999995,Catch Fitness Center,546d2376498e774b5c87214d,169,39.909285716582644,-75.18809532811588,Gym / Fitness Center
Southwest Philadelphia,39.91004000000004,-75.18636999999995,Pattison Avenue & Reserve Drive,51df4f26498e3f749d8ede91,335,39.907252901820364,-75.18786013126373,Intersection
Southwest Philadelphia,39.91004000000004,-75.18636999999995,Minuteman Press,4e61387e18a8ce02fc5084dc,349,39.91214146944459,-75.1833254549842,Office
Southwest Philadelphia,39.91004000000004,-75.18636999999995,VWC Nails,4c65cfe9e75ac92886ecf5da,357,39.91223066866536,-75.1833022574679,Spa
Southwest Philadelphia,39.91004000000004,-75.18636999999995,Cambridge Sound Studio,52d47a8511d2b97270c0dade,385,39.912995086365285,-75.18401384353638,Music Venue
Southwest Philadelphia,39.91004000000004,-75.18636999999995,Pattison Avenue & Penrose Avenue,5068763ae4b0e0a1aa9597cb,424,39.90757157724177,-75.19015872273977,Intersection
Southwest Philadelphia,39.91004000000004,-75.18636999999995,Pattison Avenue & South 20th Street,4e2627eda809510950d50ad4,455,39.906662402665745,-75.18335402011871,Intersection
Southwest Philadelphia,39.91004000000004,-75.18636999999995,Penrose Hotel Philadelphia,570d0caa498e5b652a8cab10,337,39.91247664303636,-75.18402457237244,Hotel
