Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue ID,Distance,Venue Latitude,Venue Longitude,Venue Category,like_counts,rating,photo_count,reasons_count,tips_count
North York,43.768260000000055,-79.41262999999998,The Keg,5a35b4443abcaf37eb1a0d88,191,43.766578917664795,-79.41213141222555,Steakhouse,25,8.5,7,0,3
North York,43.768260000000055,-79.41262999999998,Konjiki Ramen,5a02789d0a464d3112a58785,144,43.76699771023422,-79.41222209328754,Ramen Restaurant,39,8.3,68,1,8
North York,43.768260000000055,-79.41262999999998,Toronto Centre for the Arts,4ad4c062f964a520c3f720e3,255,43.76622825730736,-79.41411495208739,Theater,46,8.1,145,1,13
North York,43.768260000000055,-79.41262999999998,Loblaws,4ae257cff964a520758d21e3,66,43.768722,-79.412101,Grocery Store,90,7.8,94,1,13
North York,43.768260000000055,-79.41262999999998,Satay Sate,57f92db0498ee70159702002,179,43.766690000000004,-79.4121,Indonesian Restaurant,8,7.8,4,0,4
North York,43.768260000000055,-79.41262999999998,Saryo,5a46b1016e4650136e1dc52b,146,43.766979020092315,-79.41220491675689,Café,11,7.8,13,0,2
North York,43.768260000000055,-79.41262999999998,Mel Lastman Square,4bc876028b7c9c74162038cf,68,43.76770145783431,-79.41297541544051,Plaza,36,7.3,200,1,19
North York,43.768260000000055,-79.41262999999998,Starbucks,4aedfeadf964a52005d121e3,35,43.768353000000005,-79.413046,Coffee Shop,85,7.3,128,1,27
North York,43.768260000000055,-79.41262999999998,Starbucks,4aedfeadf964a52005d121e3,35,43.768353000000005,-79.413046,Coffee Shop,26,7.3,15,0,6
North York,43.768260000000055,-79.41262999999998,Starbucks,4aedfeadf964a52005d121e3,35,43.768353000000005,-79.413046,Coffee Shop,2,6.7,4,0,0
Mississauga,43.587260000000065,-79.64493999999995,Starbucks,539471da498e2f39905f4f05,204,43.586461,-79.647224,Coffee Shop,85,7.3,128,1,27
Mississauga,43.587260000000065,-79.64493999999995,Starbucks,539471da498e2f39905f4f05,204,43.586461,-79.647224,Coffee Shop,26,7.3,15,0,6
Mississauga,43.587260000000065,-79.64493999999995,Starbucks,539471da498e2f39905f4f05,204,43.586461,-79.647224,Coffee Shop,2,6.7,4,0,0
Mississauga,43.587260000000065,-79.64493999999995,Starbucks,50622622e4b0ef717cc82b0f,444,43.591019,-79.646789,Coffee Shop,85,7.3,128,1,27
Mississauga,43.587260000000065,-79.64493999999995,Starbucks,50622622e4b0ef717cc82b0f,444,43.591019,-79.646789,Coffee Shop,26,7.3,15,0,6
Mississauga,43.587260000000065,-79.64493999999995,Starbucks,50622622e4b0ef717cc82b0f,444,43.591019,-79.646789,Coffee Shop,2,6.7,4,0,0
North York,43.768260000000055,-79.41262999999998,Cineplex Cinemas,4ad4c062f964a520e2f720e3,40,43.76862539839478,-79.41261307104753,Movie Theater,171,7.3,189,1,33
North York,43.768260000000055,-79.41262999999998,Aroma Espresso Bar,557767bc498ea4a20c8043f6,137,43.76944882099181,-79.41308107735675,Café,20,7.2,12,0,3
North York,43.768260000000055,-79.41262999999998,Michaels,50001583e4b090a9fbe160d6,124,43.767244873945714,-79.41197372883606,Arts & Crafts Store,26,7.2,33,0,4
North York,43.768260000000055,-79.41262999999998,Dairy Queen,591491796bd36b1faf45e96b,147,43.76701557770687,-79.4120009150447,Ice Cream Shop,3,7.1,2,0,1
North York,43.768260000000055,-79.41262999999998,Empress Walk,4ada4936f964a520ea2021e3,31,43.768540252857974,-79.41267070827841,Shopping Mall,35,7.0,40,1,6
North York,43.768260000000055,-79.41262999999998,Sushi Moto Sake & Wine Bar,4c12ccc077cea59360c0cd60,492,43.76390159157954,-79.41155904521092,Sushi Restaurant,106,8.0,159,1,51
North York,43.768260000000055,-79.41262999999998,Booster Juice,58c184204f218a16d13f758b,75,43.76889,-79.41298990000001,Juice Bar,3,7.0,0,0,0
North York,43.768260000000055,-79.41262999999998,Pizzaiolo,4dcc56ac1838a9a8d7fe67fc,447,43.76428931934003,-79.41177961294926,Pizza Place,10,7.7,3,0,8
North York,43.768260000000055,-79.41262999999998,Baton Rouge,4b3e93dcf964a520309f25e3,203,43.76645494997892,-79.41222941305855,American Restaurant,31,7.0,31,1,13
North York,43.768260000000055,-79.41262999999998,Douglas Snow Aquatic Centre,4b48c217f964a520b25526e3,216,43.767317139739454,-79.41498164406656,Pool,7,7.0,10,0,2
