like_counts,rating,photo_count,reasons_count,tips_count
221,8.8,179,1,30
222,8.6,454,1,45
29,8.4,27,0,6
181,8.4,517,1,47
36,8.3,45,1,13
270,8.3,259,1,81
243,9.0,158,1,85
686,8.8,467,1,206
318,8.4,833,1,42
43,8.2,69,1,18
72,8.1,53,1,24
53,8.0,97,1,27
210,8.0,128,1,62
68,8.0,96,1,32
137,8.0,73,1,30
156,8.2,268,1,30
149,8.2,82,1,48
187,8.3,220,1,73
17,8.7,1,0,4
18,8.7,33,0,4
84,8.2,53,1,24
27,7.9,18,0,4
251,7.9,122,1,100
21,8.0,80,0,6
54,7.8,81,1,29
50,8.8,33,1,21
72,9.2,100,1,44
42,8.3,31,1,23
6,8.2,6,0,9
25,7.9,54,0,11
5,7.9,6,0,10
6,7.9,14,0,4
29,7.8,25,0,19
29,7.8,23,0,8
8,7.7,50,0,10
7,8.1,8,0,2
19,8.4,71,0,1
7,7.5,13,0,1
15,8.4,17,0,12
43,7.8,38,1,18
11,7.5,22,0,9
22,7.9,59,0,6
22,7.3,25,0,12
11,7.1,24,0,9
10,7.1,10,0,14
9,7.1,49,0,9
8,7.0,6,0,8
5,7.1,2,0,3
12,7.2,20,0,10
8,7.7,37,0,5
8,7.2,6,0,11
6,7.1,5,0,6
0,6.3,0,0,1
3,Null,1,0,3
0,Null,7,0,0
0,Null,2,0,1
2,5.3,2,0,3
0,Null,0,0,2
0,Null,0,0,0
31,7.8,15,1,3
7,7.5,3,0,3
0,Null,1,0,1
0,Null,1,0,0
4,Null,1,0,1
1,Null,3,0,0
3,Null,2,0,0
0,Null,3,0,0
0,Null,1,0,0
3,Null,2,0,0
3,Null,1,0,3
1,Null,0,0,1
1,Null,2,0,0
0,Null,0,0,0
25,8.5,7,0,3
39,8.3,68,1,8
46,8.1,145,1,13
90,7.8,94,1,13
8,7.8,4,0,4
11,7.8,13,0,2
36,7.3,200,1,19
85,7.3,128,1,27
171,7.3,189,1,33
20,7.2,12,0,3
26,7.2,33,0,4
3,7.1,2,0,1
35,7.0,40,1,6
106,8.0,159,1,51
3,7.0,0,0,0
10,7.7,3,0,8
31,7.0,31,1,13
7,7.0,10,0,2
8,7.1,10,0,4
12,7.1,11,0,4
12,7.4,10,0,4
53,7.4,48,1,17
5,7.0,2,0,4
30,6.5,32,0,11
14,7.9,23,0,6
21,7.6,28,0,3
19,7.6,7,0,3
8,7.3,5,0,2
37,7.2,47,1,26
9,7.4,4,0,3
9,7.3,2,0,2
6,7.1,4,0,3
7,7.2,0,0,4
3,7.2,0,0,1
189,6.9,205,1,26
15,6.8,14,0,5
5,6.7,3,0,4
4,6.7,2,0,3
384,6.5,380,1,89
5,6.4,3,0,0
1,6.3,0,0,1
47,6.5,85,1,42
20,6.4,19,0,7
2,6.5,0,0,0
17,6.2,1,0,5
1,6.2,1,0,3
0,6.3,0,0,1
2,6.2,4,0,2
27,6.3,32,0,10
1,6.2,1,0,0
1,Null,2,0,1
1,Null,0,0,0
0,Null,0,0,0
1,Null,3,0,0
0,Null,3,0,0
3,Null,0,0,0
