Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue ID,Distance,Venue Latitude,Venue Longitude,Venue Category
North York,43.768260000000055,-79.41262999999998,The Keg,5a35b4443abcaf37eb1a0d88,191,43.7665789176648,-79.41213141222555,Steakhouse
North York,43.768260000000055,-79.41262999999998,Konjiki Ramen,5a02789d0a464d3112a58785,144,43.76699771023422,-79.41222209328754,Ramen Restaurant
North York,43.768260000000055,-79.41262999999998,Toronto Centre for the Arts,4ad4c062f964a520c3f720e3,255,43.766228257307354,-79.41411495208739,Theater
North York,43.768260000000055,-79.41262999999998,Loblaws,4ae257cff964a520758d21e3,66,43.768722,-79.412101,Grocery Store
North York,43.768260000000055,-79.41262999999998,Satay Sate,57f92db0498ee70159702002,179,43.76669,-79.4121,Indonesian Restaurant
North York,43.768260000000055,-79.41262999999998,Saryo,5a46b1016e4650136e1dc52b,146,43.76697902009232,-79.41220491675689,Café
North York,43.768260000000055,-79.41262999999998,Mel Lastman Square,4bc876028b7c9c74162038cf,68,43.76770145783431,-79.41297541544051,Plaza
North York,43.768260000000055,-79.41262999999998,Starbucks,4aedfeadf964a52005d121e3,35,43.768353,-79.413046,Coffee Shop
North York,43.768260000000055,-79.41262999999998,Cineplex Cinemas,4ad4c062f964a520e2f720e3,40,43.76862539839479,-79.41261307104753,Movie Theater
North York,43.768260000000055,-79.41262999999998,Aroma Espresso Bar,557767bc498ea4a20c8043f6,137,43.76944882099181,-79.41308107735675,Café
North York,43.768260000000055,-79.41262999999998,Michaels,50001583e4b090a9fbe160d6,124,43.76724487394571,-79.41197372883607,Arts & Crafts Store
North York,43.768260000000055,-79.41262999999998,Dairy Queen,591491796bd36b1faf45e96b,147,43.76701557770687,-79.4120009150447,Ice Cream Shop
North York,43.768260000000055,-79.41262999999998,Empress Walk,4ada4936f964a520ea2021e3,31,43.768540252857974,-79.4126707082784,Shopping Mall
North York,43.768260000000055,-79.41262999999998,Sushi Moto Sake & Wine Bar,4c12ccc077cea59360c0cd60,492,43.76390159157955,-79.41155904521092,Sushi Restaurant
North York,43.768260000000055,-79.41262999999998,Booster Juice,58c184204f218a16d13f758b,75,43.76889,-79.4129899,Juice Bar
North York,43.768260000000055,-79.41262999999998,Pizzaiolo,4dcc56ac1838a9a8d7fe67fc,447,43.76428931934003,-79.41177961294926,Pizza Place
North York,43.768260000000055,-79.41262999999998,Baton Rouge,4b3e93dcf964a520309f25e3,203,43.76645494997892,-79.41222941305855,American Restaurant
North York,43.768260000000055,-79.41262999999998,Douglas Snow Aquatic Centre,4b48c217f964a520b25526e3,216,43.767317139739454,-79.41498164406656,Pool
North York,43.768260000000055,-79.41262999999998,Aura,4cf9ed11dccef04da169b29c,289,43.766012799364795,-79.41081286441447,Lounge
